id;name;parent;description
1;Новости, документы, основная информация;;Новостной раздел от Ростелеком-Урал
2;F.A.Q по услугам провайдера;;Основные вопросы/ответы по услугам "Домашний интернет" и "Интернет для бизнеса". Вы также можете дополнить статьи в разделе, написав в эту[23] тему.
3;Вопросница по услуге;4;Раздел с вопросами только об услуге "Домашний Интернет"
4;"Домашний интернет" от Ростелеком;;Общий форум по услуге "Домашний интернет от Ростелеком".
5;Домашнее ТВ;;
6;Интернет для бизнеса;;Раздел для корпоративных пользователей данной услуги
7;Льготные и бесплатные ресурсы;4;Вопросы, касающиеся внутрисетевых и/или льготных ресурсов Utel
8;Оплата услуг, личный кабинет;4;Вопросы по оплате услуг "Домашний интернет" и "Интернет для бизнеса"
9;Тарифы, опции, бонусы, подключение;4;Обсуждение тарифов, опций, бонусов и особенности переключения между ними, ограничения.
10;Другие интернет провайдеры;;Обсуждение сторонних интернет-провайдеров
11;Технические вопросы;;Технические вопросы по работе данного форума
12;Техническая поддержка: проблемы и решения;;Любые вопросы к технической поддержке провайдера
13;Скорость, ping, traceroute;;Вышеуказанное выкладываем только сюда
14;Сетевое оборудования для Ростелеком и сетевые технологии;;
15;Новости IT-индустрии;;Новости и события в сфере IT-индустрии
16;Open Source Software(СПО);17;Обсуждение любого Свободно Распространяемого Программного Обеспечения
17;Программное обеспечение;;Обсуждение программного обеспечения. Вопросы, касающиеся тематики СПО, FOSS и OpenSource в раздел "Open Source Software"
18;F.A.Q., HOWTO, Полезные советы;;Статьи, полезные советы по работе с компьютером. Для вопросов по "железу" и ПО создан специальный раздел "Вопросница"
19;Вопросница;;Любые вопросы, которые затрагивают информационные технологии
20;Компьютеры и комплектующие;;Обсуждение компьютерного железа, периферии, выбор, сравнение, проблемы, советы
21;Сети и сетевые технологии;;Локальные и глобальные сети, протоколы, сетевое оборудование
22;Мультимедиа устройства;;Всё, что не подходит в раздел Hardware
23;Программирование и средства разработки;17;Системное программирование, веб-разработка, скрипты
24;Общение;;Общаемся на любые темы. Задаём любые вопросы, которые не касаются провайдера
25;Флейм, холивары;24;Флейм. И другие отвлечённые разговоры
26;Автомобили;24;Автомобили, автотранспорт, мотоциклы и запчасти
27;Музыка и кино;24;Киноновинки, обсуждения популярных исполнителей
28;Игры и игровые жанры;24;Игры и игровые жанры. Новинки игровой индустрии
29;Барахолка;;Продажа, покупка, обмен тут
31;Wi-Fi Ростелеком;;Обсуждение услуги беспроводного доступа в Интернет от Ростелеком